"AGID","lab_id","catalog_number","set_id","peptide_target","TCGA-2J-AAB4-01A","TCGA-2J-AAB8-01A","TCGA-2J-AAB9-01A","TCGA-2J-AABA-01A","TCGA-2J-AABF-01A","TCGA-2J-AABH-01A","TCGA-2J-AABK-01A","TCGA-2J-AABO-01A","TCGA-2J-AABR-01A","TCGA-2L-AAQA-01A","TCGA-2L-AAQI-01A","TCGA-2L-AAQJ-01A","TCGA-2L-AAQL-01A","TCGA-3A-A9I5-01A","TCGA-3A-A9IB-01A","TCGA-3A-A9IH-01A","TCGA-3A-A9IU-01A","TCGA-3A-A9IX-01A","TCGA-3A-A9IZ-01A","TCGA-3E-AAAZ-01A","TCGA-F2-6879-01A","TCGA-F2-A44G-01A","TCGA-F2-A8YN-01A","TCGA-FB-A4P5-01A","TCGA-FB-A4P6-01A","TCGA-FB-A545-01A","TCGA-FB-A5VM-01A","TCGA-FB-A78T-01A","TCGA-FB-AAPQ-01A","TCGA-FB-AAPZ-01A","TCGA-FB-AAQ1-01A","TCGA-FB-AAQ6-01A","TCGA-H6-A45N-01A","TCGA-HV-A5A6-01A","TCGA-HZ-7919-01A","TCGA-HZ-7925-01A","TCGA-HZ-8001-01A","TCGA-HZ-8002-01A","TCGA-HZ-8003-01A","TCGA-HZ-8005-01A","TCGA-HZ-8315-01A","TCGA-HZ-8519-01A","TCGA-HZ-A4BK-01A","TCGA-IB-7644-01A","TCGA-IB-7646-01A","TCGA-IB-7647-01A","TCGA-IB-7649-01A","TCGA-IB-7651-01A","TCGA-IB-7652-01A","TCGA-IB-7885-01A","TCGA-IB-7886-01A","TCGA-IB-7887-01A","TCGA-IB-7888-01A","TCGA-IB-7889-01A","TCGA-IB-7890-01A","TCGA-IB-7891-01A","TCGA-IB-7893-01A","TCGA-IB-8126-01A","TCGA-IB-8127-01A","TCGA-IB-A5SO-01A","TCGA-IB-A5SP-01A","TCGA-IB-A5SQ-01A","TCGA-IB-A5SS-01A","TCGA-IB-A5ST-01A","TCGA-IB-A6UF-01A","TCGA-IB-A7LX-01A","TCGA-IB-A7M4-01A","TCGA-IB-AAUM-01A","TCGA-IB-AAUN-01A","TCGA-IB-AAUO-01A","TCGA-IB-AAUP-01A","TCGA-IB-AAUS-01A","TCGA-IB-AAUU-01A","TCGA-LB-A7SX-01A","TCGA-LB-A8F3-01A","TCGA-LB-A9Q5-01A","TCGA-M8-A5N4-01A","TCGA-OE-A75W-01A","TCGA-PZ-A5RE-01A","TCGA-Q3-A5QY-01A","TCGA-Q3-AA2A-01A","TCGA-RB-A7B8-01A","TCGA-RB-AA9M-01A","TCGA-S4-A8RM-01A","TCGA-S4-A8RO-01A","TCGA-S4-A8RP-01A","TCGA-US-A776-01A","TCGA-US-A779-01A","TCGA-US-A77E-01A","TCGA-US-A77G-01A","TCGA-XD-AAUH-01A","TCGA-XD-AAUI-01A","TCGA-XD-AAUL-01A","TCGA-XN-A8T5-01A","TCGA-YB-A89D-01A","TCGA-YH-A8SY-01A","TCGA-YY-A8LH-01A","TCGA-Z5-AAPL-01A"
"AGID00100",882,"sc-628","Old","1433BETA",0.207,0.17389,0.3333,0.39544,0.37587,0.49195,0.29509,0.21359,0.41065,-0.027123,0.023125,0.12742,0.069671,0.063226,0.13987,-0.067665,0.29646,0.053828,0.21654,-0.015217,0.087694,0.2248,0.15368,-0.030837,-0.059451,0.12979,-0.005976,0.00029139,0.18778,0.28991,0.20237,0.92779,0.095751,0.09737,-0.064346,0.10482,0.30088,0.18991,0.09107,0.19833,-0.00080025,0.070982,0.10412,0.29905,0.2963,0.20249,0.14362,0.069025,-0.0059359,0.23637,0.072488,0.35071,0.16686,0.066232,0.080975,-0.058594,0.046425,0.22794,0.0075014,0.075221,0.033779,0.011622,0.095933,0.17178,0.015714,0.22395,0.19185,-0.006175,0.021131,0.1049,0.0052239,0.11017,0.022892,-0.13201,0.055367,0.12018,0.14552,0.12914,0.11267,0.21126,0.36631,0.28543,0.17797,-0.071558,-0.0090984,0.030495,0.012071,0.14702,0.11646,0.17873,0.066592,0.2375,0.21918,0.019034,0.020629,0.17903,0.029575,0.49287
"AGID00111",913,"sc-23957","Old","1433EPSILON",0.023268,0.0060554,0.11746,0.081067,0.051053,0.13032,0.089847,-0.09773,0.20866,-0.042443,-0.014745,0.12112,0.034551,0.1313,0.052336,-0.049968,0.041682,0.13338,0.21461,0.0039748,0.064718,0.053386,0.036024,-0.067413,0.19982,0.05807,-0.0033199,0.12496,-0.01737,-0.00067452,0.054795,0.058645,0.13414,0.16492,-0.20513,0.21552,0.33162,0.16642,0.25202,0.15273,0.097919,0.13494,0.15468,0.15303,0.12058,-0.012478,0.28483,0.17254,0.099167,0.14278,0.16355,0.107,0.10962,-0.095681,-0.0067644,0.20441,0.1565,0.060356,0.070778,0.11294,0.094508,0.061276,0.052786,0.04233,0.16497,0.00067212,0.00024047,0.0027603,-0.12361,-0.066347,-0.027244,0.1267,0.016482,-0.0093983,-0.030239,0.28469,0.076589,0.21226,0.0044262,0.060854,0.14586,0.24752,0.017122,-0.086886,-0.06941,0.046171,-0.19988,0.098139,0.051397,0.16868,-0.0085891,0.067954,0.23018,0.055092,0.057896,0.0189,-0.027483,-0.17606
"AGID00101",883,"sc-1019","Old","1433ZETA",0.53802,0.34871,0.30514,0.27305,0.33078,-0.064257,0.11374,0.15065,0.56719,0.0192,-0.1308,0.12599,-0.49168,-0.33304,-0.51098,0.19452,-0.56783,-0.39405,-0.14007,0.0031522,0.5412,1.0348,0.06956,-0.52039,-0.326,-0.27141,-0.069034,-0.21553,0.24739,0.10223,0.30398,0.043203,-0.43889,0.19439,-0.11922,0.25558,0.44439,-0.33789,-0.67344,-0.63282,-0.25462,-0.58704,-0.44279,1.1409,0.3587,-0.52671,-0.047711,-0.34295,-0.29326,0.3442,0.16069,-0.18801,-0.40317,-0.17729,-0.095513,-0.35823,-0.16997,0.48519,-0.21921,-0.32562,-0.088456,-0.16703,-0.19143,0.21428,-0.23657,-0.030476,0.15507,-0.46947,0.3672,0.079514,-0.2552,-0.52905,-0.095035,-0.38107,-0.36715,-0.013122,0.015536,0.3425,0.06477,-0.79708,-0.63054,-0.012874,-0.25579,-0.10118,-0.14628,0.0031992,-0.043404,-0.18256,-0.057671,-0.16945,-0.059491,0.053587,-0.46131,-0.21638,-0.024432,0.31907,-0.081864,0.63261
"AGID00001",2,"9452","Old","4EBP1",-0.045694,-0.40223,0.21777,-0.66133,0.09141,-0.45595,-0.1263,-0.39656,-0.48791,-0.17654,-0.18293,-0.36914,-0.54494,-0.38935,-0.49627,-0.39396,-0.55615,-0.49258,-0.23713,-0.32889,-0.079075,0.71823,-0.4203,-0.3491,-0.34974,-0.24777,0.13584,1.1289,-0.16859,-0.078808,0.41132,-0.22124,-0.28171,-0.49545,-0.33103,0.0044173,-0.57881,-0.27479,1.0239,-0.13355,-0.49574,0.47037,0.45215,0.90805,0.28468,-0.59621,0.031553,0.50188,-0.30083,0.20969,0.31014,-0.26394,-0.28161,-0.22415,-0.38214,0.72646,0.096891,1.2614,-0.091818,-0.59297,-0.13628,-0.33616,-0.4255,-0.48136,0.75589,-0.37105,0.27993,0.30656,-0.038561,-0.47594,-0.51778,-0.46135,-0.069008,-0.41905,-0.44403,-0.10468,-0.12675,0.21366,-0.41239,-0.83803,-0.7381,-0.26959,-0.43782,-0.23011,0.072864,-0.41118,-0.58407,-0.48332,-0.39141,-0.11869,-0.37999,0.26614,-0.60307,-0.59619,-0.20799,0.080996,-0.23673,-0.14077
"AGID00002",3,"9456","Old","4EBP1_pS65",-0.49586,-0.41967,-0.44415,-0.44839,-0.14078,-0.077231,-0.13996,-0.28286,-0.37865,-0.42867,-0.34754,-0.53773,-0.49888,-0.15619,-0.23691,-0.31446,-0.60556,-0.4236,-0.45839,-0.26158,-0.63836,-0.39586,-0.64157,-0.46345,-0.40427,-0.53219,-0.48203,-0.50445,-0.4158,-0.23688,-0.24226,-0.56713,-0.51987,-0.41876,-0.39637,-0.47793,-0.794,-0.49807,-0.49748,-0.38887,-0.28638,-0.44078,-0.5798,-0.31553,-0.54202,-0.58266,-0.34079,-0.53335,-0.54462,-0.44344,-0.39978,-0.25754,-0.46232,-0.67928,-0.32087,-0.35887,-0.46959,-0.55152,-0.40683,-0.78288,-0.63948,-0.36373,-0.4677,-0.45365,-0.42025,-0.50363,-0.547,-0.40363,-0.37883,-0.28792,-0.40045,-0.65042,-0.50859,-0.36391,0.29206,-0.41145,-0.47641,-0.44685,-0.54619,-0.16615,-0.41773,-0.83594,-0.2555,-0.38894,-0.26527,-0.32157,-0.25455,-0.52044,-0.54957,-0.62311,-0.10922,-0.00033216,-0.41639,-0.55695,-0.53725,-0.54318,-0.45752,-0.41189
"AGID00003",6,"9459","Old","4EBP1_pT37T46",-0.27173,-1.4601,-0.9291,-0.4546,-0.5167,0.030474,-0.091264,0.0031042,0.14242,-0.017,-0.37369,-0.57262,-0.75423,-0.095405,-0.33954,-0.47724,-0.24061,-0.50741,-1.2363,-1.5756,-0.85547,0.13994,-1.7096,-0.59079,-0.8278,-0.29167,-0.45667,0.089316,0.027667,0.029139,-0.040772,-1.2411,-0.58599,-0.82936,-0.215,-1.1701,-0.53012,-0.34942,0.31469,-0.25432,-0.40566,0.54149,0.1427,0.057287,-0.67923,-0.77882,-0.2919,-0.44336,-0.50158,-0.39152,-0.71322,-0.23682,-0.41346,-0.39147,-0.42831,0.070402,-1.5366,0.27242,-0.26679,-1.3485,-0.67069,-0.28309,-0.16176,-1.1649,-0.044132,-1.062,-0.84604,0.37094,-0.38262,-0.53713,-0.67786,-0.70447,-1.0555,-0.14216,-0.73338,-0.76389,-0.76521,-1.3887,-1.135,0.042163,-0.31053,-1.1905,0.0023224,-0.84501,-0.75518,-0.51956,-0.23794,-0.82228,-1.3747,0.22587,-0.44098,-0.33505,-0.37858,-0.2649,-0.97268,-0.75272,-0.51824,-1.1369
"AGID00443",8,"9455","Old","4EBP1_pT70",0.071809,0.017727,0.14952,0.14539,0.21538,0.24054,0.13029,0.13687,0.27593,-0.24339,-0.086782,-0.16577,-0.27585,-0.068057,0.030181,-0.14426,0.11865,-0.11055,-0.12092,-0.36901,-0.29301,0.093284,-0.063862,-0.062964,-0.33875,0.028241,-0.24057,-0.2107,0.040814,0.11122,0.2002,0.27482,-0.16947,-0.043499,-0.16622,-0.13162,0.1323,-0.086554,-0.31077,0.17627,-0.15058,-0.27209,-0.23789,0.17406,-0.071311,0.10555,0.12629,0.05722,-0.24565,0.25705,-0.12807,0.21848,0.11909,-0.043566,-0.053162,-0.17417,-0.077859,0.094564,-0.085985,-0.32408,-0.27877,-0.23747,0.02155,-0.035458,-0.0059595,0.082312,0.12254,-0.28935,0.036548,-0.13068,-0.17619,-0.12485,-0.24616,-0.076419,-0.044232,-0.079745,0.016747,-0.11264,-0.078848,0.072795,0.12081,-0.094226,-0.050186,-0.37267,-0.32457,-0.16527,-0.032087,-0.10392,-0.14609,-0.35141,0.028013,0.0083201,-0.094312,-0.29379,-0.34386,-0.032361,-0.12216,0.085252
"AGID00120",985,"4937","Old","53BP1",-0.64933,-0.85727,-1.063,-1.2451,-1.332,-1.6499,-0.88499,-0.34507,-2.9359,-0.28926,-0.79993,-1.6778,-0.80897,-0.21659,-0.63019,-0.45543,-0.53807,-0.40295,-1.4754,-0.5573,-0.16891,-1.6359,-0.24528,-0.43594,-0.33295,-0.94905,-0.16872,-0.7053,-0.59484,-0.95657,-0.30672,-1.1573,-0.51827,-0.96881,-0.36559,-1.5125,-2.7458,-0.43116,-1.0844,-0.96995,-0.31072,-0.58596,-1.2105,-1.4888,-1.6508,-0.67019,-1.1216,-0.73066,-0.33449,-1.4558,-0.69031,-1.2762,-0.97266,-0.99589,-0.4864,-0.78057,-0.429,-1.7595,-0.3702,-0.8178,-0.33003,-0.13095,-0.73606,-1.4437,-0.71586,-1.4582,-1.3124,-0.66007,-0.36335,-0.43071,-0.82343,-0.65812,-0.44912,-0.14725,-0.41283,-0.96919,-1.722,-0.37052,-1.0682,-0.65757,-1.054,-0.67637,-0.60157,-0.51478,-0.43404,-0.50152,-0.85539,-0.9649,-0.8809,-1.9263,-0.11841,-1.1901,-1.1142,-0.43079,-0.74158,-1.6515,-0.59473,-1.1349
"AGID00004",13,"3661","Old","ACC_pS79",-0.3669,-0.53357,-1.2435,-1.118,-0.52146,-1.172,-0.70428,-0.43275,-0.75523,0.52644,0.049504,-0.33701,-0.46902,-0.061577,-1.1495,0.25755,-0.11463,-0.66431,-1.155,-0.30724,-0.77004,-0.11715,-1.5816,-0.35416,-0.3221,-0.68724,0.25063,-0.45536,-0.54409,-1.4025,0.22403,-0.9887,-0.63163,-0.39643,-0.094953,-0.5954,-0.59015,-0.59101,-0.37643,-0.89322,-0.57013,0.097987,-0.33691,-0.49645,-1.0245,-0.56804,-0.71775,-0.88901,-0.54581,-0.36144,-0.68474,-1.2076,-0.56732,-0.71353,-0.64881,-0.50166,-0.13963,-0.61609,-0.57344,-0.64665,-0.29554,-0.8465,-0.75851,-0.48518,-0.54074,-1.3073,-0.17227,-0.62647,-0.45213,-0.58194,-0.99537,-0.81754,0.033564,-0.1832,-0.32224,0.20614,-0.13209,-1.4214,-0.65734,-0.81524,-1.0673,-0.51533,-0.46675,-0.16074,0.4922,-0.38652,-0.15827,-0.54851,-0.9593,-0.62968,-0.32947,-0.46256,-0.87124,-0.03347,-0.70494,-0.0647,-0.76228,-1.322
"AGID00005",14,"1768-1/ab45174","Old","ACC1",-0.4971,-0.083054,-0.66091,-1.2835,-0.19315,-0.32579,-0.35641,-0.26553,0.098467,0.50607,-0.048382,0.01326,-0.67045,-0.40944,-1.2774,0.59263,-0.9053,-0.80697,-1.1695,-0.36594,-0.29912,-0.14838,-0.55175,-0.44405,-0.35329,-0.81604,0.4302,-0.71703,-0.54484,-1.1569,0.36965,-0.69082,-0.73973,-0.049155,-0.21323,-0.059429,-0.053362,-0.36453,-0.40641,-1.0605,-0.7482,0.11964,-0.72156,-0.49603,-0.81798,-0.59034,-0.39172,-0.5702,-0.5916,-0.35746,-0.54757,-0.97208,0.075984,-0.72392,-0.78832,-0.20746,0.0038397,-0.40326,-0.63847,-0.63469,-0.51183,-0.84559,-0.9704,-0.32582,-0.57091,-1.4536,-0.0088834,-0.82732,-0.38375,-0.67298,-1.1392,-1.0137,0.057398,-0.025752,-0.1389,0.63782,-0.11689,-0.62241,-0.28428,-0.84951,-1.4108,-0.30059,-0.53014,-0.32513,0.34393,-0.51927,-0.11774,-0.53224,-1.1018,-0.57465,-0.06454,-0.343,-0.74196,-0.11944,-0.72952,0.42526,-0.8906,-0.49897
